# CENSUS TRACT,PRIMARY,OTHER,ALL
# TOTAL,344804,501430,846234
050279503,1,0,1
050279504,9,2,11
050279505,4,3,7
050299503,7,4,11
050299504,2,0,2
050299506,1,0,1
050310001,56,112,168
050310002,2,0,2
050310003,6,8,14
050310004,19,9,28
050310005,3,5,8
050310006,1,0,1
050310008,22,23,45
050310010,2,0,2
050310011,3,1,4
050330201,3,0,3
050330202,6,1,7
050330203,6,3,9
050330204,1,3,4
050330205,12,7,19
050330206,4,1,5
050350302,9,6,15
050350303,14,10,24
050350305,1,0,1
050350308,6,2,8
050350311,1,0,1
050379501,1,0,1
050379502,1,0,1
050379505,3,1,4
050379506,6,2,8
050399703,5,2,7
050419502,7,4,11
050419503,1,0,1
050419504,4,1,5
050419505,0,1,1
050419901,0,1,1
050439903,11,2,13
050450301,4,2,6
050450302,0,1,1
050450303,1,3,4
050450304,4,4,8
050450305,2,1,3
050450306,1,5,6
050450307,9,10,19
050450308,22,21,43
050450310,11,8,19
050450311,1,1,2
050479502,5,2,7
050479503,0,1,1
050499501,1,1,2
050499502,6,1,7
050499702,1,0,1
050499703,2,0,2
050510101,5,7,12
050510104,2,2,4
050510105,3,2,5
050510106,1,4,5
050510107,1,4,5
050510108,5,14,19
050510109,4,4,8
050510110,0,1,1
050510111,3,2,5
050510112,7,5,12
050510113,1,4,5
050510114,0,9,9
050510115,0,9,9
050510116,29,32,61
050510117,4,1,5
050510118,31,54,85
050510119,7,13,20
050539704,7,0,7
050559801,0,1,1
050559802,2,1,3
050559804,12,12,24
050559806,2,1,3
050559807,0,1,1
050559808,8,4,12
050579801,1,0,1
050579802,0,1,1
050579803,13,5,18
050579804,0,2,2
050579805,3,0,3
050590202,1,0,1
050590203,4,0,4
050590204,10,2,12
050590207,1,1,2
050619501,1,0,1
050619503,5,4,9
050639901,1,0,1
050639902,7,11,18
050639903,12,6,18
050639904,1,0,1
050639905,12,18,30
050639907,3,1,4
050659601,1,1,2
050659602,2,0,2
050659603,4,1,5
050679802,4,1,5
050679803,12,10,22
050690002,1,0,1
050690003,6,2,8
050690005,1,0,1
050690010,4,1,5
050690011,2,1,3
050690012,2,0,2
050690013,1,0,1
050690014,2,0,2
050690015,7,25,32
050690016,0,1,1
050690018,61,46,107
050690019,2,2,4
050690020,1,6,7
050690021,4,9,13
050719519,1,0,1
050719520,12,6,18
050719521,5,0,5
050739701,1,0,1
050739702,1,1,2
050739703,1,0,1
050759702,0,1,1
050759703,1,0,1
050759705,7,1,8
050779703,8,1,9
050799605,1,1,2
050810301,3,1,4
050810302,1,0,1
050810303,0,1,1
050839501,0,1,1
050839503,5,1,6
050839505,6,3,9
050850034,1,0,1
050850201,2,5,7
050850202,11,2,13
050850203,0,1,1
050850204,2,1,3
050850205,4,0,4
050850207,1,0,1
050870110,1,0,1
050879602,4,3,7
050899602,5,3,8
050899603,1,4,5
050910201,2,1,3
050910202,1,3,4
050910203,1,4,5
050910204,1,0,1
050910207,3,3,6
050910208,13,0,13
050910209,0,1,1
050930101,7,3,10
050930102,3,0,3
050930104,1,0,1
050930106,14,4,18
050930108,2,0,2
050930110,6,1,7
050930111,1,1,2
050959501,3,0,3
050959502,1,1,2
050959503,2,1,3
050979530,3,1,4
050979532,2,0,2
050999902,3,0,3
051019802,2,2,4
051019905,0,1,1
051039501,1,0,1
051039502,3,0,3
051039503,2,0,2
051039504,8,3,11
051039506,3,3,6
051059528,3,0,3
051079801,9,6,15
051079802,2,1,3
051079803,0,1,1
051079804,10,1,11
051079806,1,0,1
051099533,3,0,3
051099535,4,1,5
051119901,1,0,1
051119903,3,0,3
051119905,2,1,3
051119907,3,0,3
051139501,1,0,1
051139502,11,10,21
051139503,2,0,2
051139504,1,0,1
051159507,1,0,1
051159508,0,1,1
051159509,2,0,2
051159511,1,1,2
051159512,2,0,2
051159513,2,9,11
051159514,6,7,13
051159515,31,14,45
051159516,7,14,21
051179601,1,0,1
051179602,1,0,1
